Games won/total: 36/181, win %: 19.89%, last score - black/white:3/7
Games won/total: 36/182, win %: 19.78%, last score - black/white:3/7
Games won/total: 36/183, win %: 19.67%, last score - black/white:3/7
Games won/total: 36/184, win %: 19.57%, last score - black/white:3/7
Games won/total: 36/185, win %: 19.46%, last score - black/white:3/7
Games won/total: 36/186, win %: 19.35%, last score - black/white:3/7
Games won/total: 36/187, win %: 19.25%, last score - black/white:3/7
Games won/total: 36/188, win %: 19.15%, last score - black/white:3/7
Games won/total: 36/189, win %: 19.05%, last score - black/white:5/7
Games won/total: 36/190, win %: 18.95%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 36/191, win %: 18.85%, last score - black/white:3/7
Games won/total: 37/192, win %: 19.27%, last score - black/white:15/13
Games won/total: 37/193, win %: 19.17%, last score - black/white:3/7
Games won/total: 37/194, win %: 19.07%, last score - black/white:3/7
Games won/total: 37/195, win %: 18.97%, last score - black/white:3/7
Games won/total: 37/196, win %: 18.88%, last score - black/white:3/7
Games won/total: 37/197, win %: 18.78%, last score - black/white:3/7
Games won/total: 37/198, win %: 18.69%, last score - black/white:3/7
Games won/total: 37/199, win %: 18.59%, last score - black/white:3/7
Games won/total: 37/200, win %: 18.5%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 37/201, win %: 18.41%, last score - black/white:3/7
Games won/total: 37/202, win %: 18.32%, last score - black/white:3/7
Games won/total: 37/203, win %: 18.23%, last score - black/white:3/7
Games won/total: 37/204, win %: 18.14%, last score - black/white:3/7
Games won/total: 37/205, win %: 18.05%, last score - black/white:3/7
Games won/total: 37/206, win %: 17.96%, last score - black/white:3/7
Games won/total: 37/207, win %: 17.87%, last score - black/white:14/20
Games won/total: 37/208, win %: 17.79%, last score - black/white:3/7
Games won/total: 37/209, win %: 17.7%, last score - black/white:3/7
Games won/total: 37/210, win %: 17.62%, last score - black/white:4/10
Syncing agents weights...
Games won/total: 37/211, win %: 17.54%, last score - black/white:9/9
Games won/total: 37/212, win %: 17.45%, last score - black/white:11/15
Games won/total: 37/213, win %: 17.37%, last score - black/white:3/7
Games won/total: 37/214, win %: 17.29%, last score - black/white:3/7
Games won/total: 37/215, win %: 17.21%, last score - black/white:6/10
Games won/total: 37/216, win %: 17.13%, last score - black/white:3/7
Games won/total: 37/217, win %: 17.05%, last score - black/white:10/26
Games won/total: 37/218, win %: 16.97%, last score - black/white:3/7
Games won/total: 37/219, win %: 16.89%, last score - black/white:3/7
Games won/total: 37/220, win %: 16.82%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 37/221, win %: 16.74%, last score - black/white:3/7
Games won/total: 37/222, win %: 16.67%, last score - black/white:3/7
Games won/total: 37/223, win %: 16.59%, last score - black/white:3/7
Games won/total: 37/224, win %: 16.52%, last score - black/white:3/7
Games won/total: 37/225, win %: 16.44%, last score - black/white:4/8
Games won/total: 37/226, win %: 16.37%, last score - black/white:3/7
